   
   
sim_type_id
sim_id
tracker_id
sim_position
tracker_position
position_error
sim_obj_static
tracker_obj_static
is_same_status
sim_velocity
tracker_velocity
velocity_error
sim_heading
tracker_heading
heading_error
is_same_status,True,True
sim_velocity,3.48,3.24
tracker_velocity,3.2,3.87
velocity_error,0.08,0.19
sim_heading,-1.82,-2.85
tracker_heading,-1.79,-2.85
heading_error,0,0
sim_velocity_vector,(-0.57_-3.43_0.0),(-3.02_-1.19_0.0)
tracker_velocity_vector,(-0.49_-3.16_0.0),(-3.27_-2.07_0.0)
velocity_heading_error,0.6299999999999955,10.820000000000022
sim_box_width,2.23,1.93
tracker_box_width,1.66,1.99
box_width_error,0.26,0.03
sim_box_length,4.89,4.6
tracker_box_length,4.58,4.9
box_length_error,0.06,0.07
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.82
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,4,5
sim_position,(368.76_171.74_-0.0),(374.63_180.24_0.0)
tracker_position,(368.93_172.04_0.76),(374.94_180.23_0.91)
position_error,0.34,0.31
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.45,3.4
tracker_velocity,3.15,3.9
velocity_error,0.09,0.15
sim_heading,-1.8,-2.82
tracker_heading,-1.81,-2.83
heading_error,0,0
sim_velocity_vector,(-0.46_-3.42_-0.0),(-3.07_-1.48_-0.0)
tracker_velocity_vector,(-0.47_-3.11_0.0),(-3.34_-2.02_0.0)
velocity_heading_error,0.9300000000000068,5.429999999999978
sim_box_width,2.23,1.93
tracker_box_width,1.85,1.98
box_width_error,0.17,0.03
sim_box_length,4.89,4.6
tracker_box_length,4.51,4.87
box_length_error,0.08,0.06
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.82
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,3,4
sim_position,(368.72_171.41_-0.0),(374.31_180.08_0.0)
tracker_position,(368.84_171.6_0.76),(374.51_179.98_0.92)
position_error,0.22,0.22
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.26,3.56
tracker_velocity,3.11,3.73
velocity_error,0.05,0.05
sim_heading,-1.78,-2.79
tracker_heading,-1.78,-2.79
heading_error,0,0
sim_velocity_vector,(-0.39_-3.24_0.0),(-3.15_-1.66_-0.0)
tracker_velocity_vector,(-0.48_-3.08_0.0),(-3.21_-1.89_0.0)
velocity_heading_error,2.0,2.700000000000017
sim_box_width,2.23,1.93
tracker_box_width,1.84,1.81
box_width_error,0.17,0.06
sim_box_length,4.89,4.6
tracker_box_length,4.67,4.46
box_length_error,0.04,0.03
sim_box_height,1.48,1.85
tracker_box_height,1.52,1.84
box_height_error,0,0
Miss_rate,0.0
   
   
sim_type_id,vehicle.lincoln.mkz_2020,vehicle.nissan.patrol
sim_id,1705,1706
tracker_id,3,4
sim_position,(368.68_171.09_-0.0),(374.0_179.92_0.0)
tracker_position,(368.78_171.31_0.76),(374.16_179.85_0.92)
position_error,0.24,0.17
sim_obj_static,False,False
tracker_obj_static,False,False
is_same_status,True,True
sim_velocity,3.23,3.44
tracker_velocity,3.07,3.71
velocity_error,0.05,0.08
sim_heading,-1.76,-2.76
tracker_heading,-1.76,-2.77
heading_error,0,0
